Id,Collaborative,DistinctArtists
547275,false,47
350356,false,62
580541,false,17
297422,false,9
822420,true,13
894713,false,14
598704,false,33
133333,false,6
605224,false,111
360254,false,15
80140,false,25
854241,false,8
833761,false,15
735033,false,4
140246,false,3
151203,false,22
886018,false,11
962410,false,10
544056,false,24
692363,false,3
286704,false,72
352702,false,21
843626,true,84
829911,false,48
258717,false,60
77142,false,24
143288,false,3
406373,false,7
434668,false,17
767782,true,122
163885,false,44
822198,false,57
555171,false,13
407707,false,4
614626,false,16
735869,false,21
677618,false,22
950962,false,18
239362,false,11
339282,false,58
480769,false,10
40744,false,17
681015,false,42
338183,false,61
961772,false,76
25678,false,40
221062,false,23
162704,false,19
220354,false,15
387268,false,50
223644,false,9
102628,false,22
55194,false,12
896621,false,43
886209,false,20
379565,false,75
995619,false,13
869269,false,6
782323,false,28
583209,false,12
17896,false,53
45105,false,12
210356,false,20
187842,false,17
684772,false,9
830016,false,15
822573,false,21
168204,false,40
950003,false,34
839720,false,31
358288,false,51
860021,false,24
446990,false,33
17126,false,51
287244,false,3
168319,false,20
966801,false,4
555857,false,35
102609,false,11
404908,false,8
582137,false,33
339453,false,17
918922,false,35
606164,false,97
862660,false,9
33619,false,13
754402,false,34
692566,false,11
133733,false,24
151106,true,34
884098,false,4
200019,false,14
499381,false,10
86759,false,15
71888,false,4
386703,false,38
100283,false,14
843412,true,55
607351,false,90
698881,false,38
897957,false,65
95089,false,75
506652,false,40
765242,false,34
12058,false,32
294618,false,30
111635,false,89
809608,false,6
350486,false,29
261569,false,17
467319,true,34
230772,false,59
756099,false,13
467145,false,21
319670,false,48
333519,false,32
24484,false,22
923817,false,11
168308,false,12
707549,false,39
949057,false,15
537251,false,14
415224,false,25
131806,false,39
172506,false,12
950791,false,26
783657,false,22
77174,false,45
35970,false,23
50997,false,42
481191,false,29
102792,false,19
625089,false,36
593324,false,13
273822,false,33
476278,false,18
499985,false,3
339588,false,26
913194,false,28
