Id,Label,Artist
spotify:track:1V4jC0vJ5525lEF1bFgPX2,Shots,LMFAO
spotify:track:1MQCTOWVfy4PcuBXkBsHVB,Just A Friend,Biz Markie
spotify:track:3bdnSozGuKsSIpxWXp9ykO,Because I Got High,Afroman
spotify:track:5GMw6X6BbCDGO9gApQYRSa,You've Lost That Lovin' Feelin',The Righteous Brothers
spotify:track:2RtnoUsvJg3wMgMeEhG6fr,Danger Zone,Kenny Loggins
spotify:track:0d8ZbnRoW1TJ3qEleTrYHH,I Want It That Way,Backstreet Boys
spotify:track:71NTMZTOfSJGibdMGaZK9i,Incomplete,Backstreet Boys
spotify:track:2Lg4kvhOrPhpGEZmSe7VAN,Country Grammar (Hot Shit),Nelly
spotify:track:2kBpsXKH2hCUDslEcvS0FK,Don’t Stop The Party,The Black Eyed Peas
spotify:track:4r8lRYnoOGdEi6YyI5OC1o,Bye Bye Bye,*NSYNC
spotify:track:20LxTsa6936zOlzTWqoPVt,The Next Episode,Dr. Dre
spotify:track:1aUT4xl8iiYNr6emik4qTB,I Need A Doctor,Dr. Dre
spotify:track:7w9bgPAmPTtrkt2v16QWvQ,Lose Yourself - Soundtrack Version,Eminem
spotify:track:0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,George Michael
spotify:track:1KXrIYY9fvjI0wN4gc4BVN,Behind Blue Eyes,Limp Bizkit
spotify:track:1jH2IzZ7JnixFoGG6XSnpf,Rollin' (Air Raid Vehicle),Limp Bizkit
spotify:track:0FNP4X9OmYgFk2MRYVIFGB,My Way,Limp Bizkit
spotify:track:5cZqsjVs6MevCnAkasbEOX,Break Stuff,Limp Bizkit
spotify:track:1TEZWG1FdjzDdercCguTwj,Nookie,Limp Bizkit
spotify:track:0P81RSkUtsbJQjPBRpMCjw,This Is How We Do It (Re-Recorded / Remastered),Montel Jordan
spotify:track:6GQ3WTaNHMFlVmN4burGat,Butterfly,Crazy Town
spotify:track:231WyXR4WZi64gPSuOC27u,What a Girl Wants,Christina Aguilera
spotify:track:73fzhVcs7n1wZz84eoE2vs,Drive,Incubus
spotify:track:0iVKOcxFG4rGSQDXHwSpVp,Twerk It,Twerkteam
spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,Dance (A$$) Remix,Big Sean
spotify:track:4V1XlC72QmCanyZPFECKzw,Booty Work - Wurk Those Ghetto Tek Cheeks,Dorm Parties
spotify:track:6niJLaplletwU3YWspK41j,Swing - Remix - Explicit,Savage
spotify:track:7tGlzXJv6GD5e5qlu5YmDg,Love Me,Lil Wayne
spotify:track:7ca7rFu3pPFSzk1YVykmkN,Get Buck In Here,DJ Felli Fel
spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Flo Rida
spotify:track:0CAfXk7DXMnon4gLudAp7J,Low (feat T-Pain) - Feat T-Pain Album Version,Flo Rida
spotify:track:2QQuKHdhPoAJchgY0HPw96,Right Round - feat. Ke$ha,Flo Rida
spotify:track:0LohatbcUXRauoeMlR1jnS,Pound The Alarm,Nicki Minaj
spotify:track:7n2Dqgp4iXd8Zorfj9XSYo,Donk,Soulja Boy
spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment,Pitbull
spotify:track:4flXUmmCKe1GAAvIoptHq7,Bumpy Ride,Mohombi
spotify:track:5HA7tMo24qLAGAytB4DFMH,Naked,DEV
spotify:track:1MsXh9Rl2RhscG7IaBhwU7,Lolli Lolli (Pop That Body) - Explicit Album Version,Three 6 Mafia
spotify:track:2cZrrQMjB63c0iIugYH9zS,Rain Over Me,Pitbull
spotify:track:5KY7zgFeH2GWoL1zP9mME6,Get Low - Street,Lil Jon & The East Side Boyz
spotify:track:6rbeWjEavBHvX2kr6lSogS,Work Out,J. Cole
spotify:track:3wCSVS7KM9CIIHrChpabQ3,Better With The Lights Off - feat. Chris Brown,New Boyz
spotify:track:4M1qD1I88N7nbUnN1wfMO7,In The Dark,DEV
spotify:track:3Yt9lRtS5V4nbJnwcgFgvC,You Da One,Rihanna
spotify:track:7yfg0Eer6UZZt5tZ1XdsWz,Make Me Proud,Drake
spotify:track:5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly
spotify:track:3GzjG6Qah8cplpj5YAURLK,Say Yeah,Wiz Khalifa
spotify:track:3VzJE6yGuj8fDExUh6TLnc,Candy Shop,50 Cent
spotify:track:4P7VFiaZb3xrXoqGwZXC3J,Lollipop,Lil Wayne
spotify:track:2KyiIp5r7uPc0WGeyd5Pbk,Play,David Banner
spotify:track:0k6HUzaRHpQ3eEWr1C7Esh,Ms. New Booty - feat. Ying Yang Twins and Mr. ColliPark,Bubba Sparxxx
spotify:track:1Vot6YSxInL52SGTN0XN9n,Hot Tottie,Usher
spotify:track:03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,Waka Flocka Flame
spotify:track:0jSMveIWvnhDIvzqN74Uc7,Tipsy - Club Mix,J-Kwon
spotify:track:1Z5L1sgdPUPfcuxsfaYzcB,Tonight Is The Night,Outasight
spotify:track:3SPDQfj2UfWq6A2NllZnzn,What Makes You Beautiful,One Direction
spotify:track:2ZeqHRsu81p7xNsW24qTyt,Do It Like A Dude,Jessie J
spotify:track:6nHqns54LRqDNjeqKDF3v8,Glad You Came,The Wanted
spotify:track:1oHNvJVbFkexQc0BpQp7Y4,Starships,Nicki Minaj
spotify:track:0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),Drake
spotify:track:4P6BuLsqtg5uISdE77ypI9,Ayy Ladies,Travis Porter
spotify:track:4EfN6bixdOOgoLYR5C4cWo,Birthday Cake,Rihanna
spotify:track:1kEp3Po9RUPm11N5ITOUWx,Pop Bottles - Main,Birdman
spotify:track:20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen
spotify:track:1FCQEg7wOK9IIBuxx63krr,And We Danced (feat. Ziggy Stardust),Macklemore
spotify:track:3bfqkspKABT4pPicm6wC9F,Ass Back Home (feat. Neon Hitch) - feat. Neon Hitch,Gym Class Heroes
spotify:track:5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,Rihanna
spotify:track:5jPyymL6gQyJNMMnMX1IMx,Die Young,Kesha
spotify:track:2i8hWheuwDUwyPrZynCLEF,Strip,Chris Brown
spotify:track:47x1F4HyX7LafFgxtoa19P,Kiss Kiss,Chris Brown
spotify:track:2bIrFpyw3AA2t7gNIkfmGb,Gimme That Remix featuring Lil' Wayne,Chris Brown
spotify:track:5Mhmb7EJiUVF55qtsKvVHK,Keep You Much Longer,Akon
spotify:track:2OJno7fTJBwnlNwk1H5NzB,We Found Love (Workout Mix + 135 BPM),Workout Remix Factory
spotify:track:4WSSY5ZnbhVN2PVXcjY1yh,Slow Jamz,Twista
spotify:track:2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,Twista
spotify:track:0gPPfRl1qmyEuWQJVD2EW0,Wetter (Calling You Daddy),Twista
spotify:track:6ihObRBTB8xdSH2mlERtOX,Slow Motion,Juvenile
spotify:track:5KY7zgFeH2GWoL1zP9mME6,Get Low - Street,Lil Jon & The East Side Boyz
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix / Club Mix,OutKast
spotify:track:0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,OutKast
spotify:track:0XUfyU2QviPAs6bxSpXYG4,Yeah!,Usher
spotify:track:00LfFm08VWeZwB0Zlm24AT,Suga Suga,Baby Bash
spotify:track:4TJduXYW1Pg96EDNnfiwxJ,Shake Ya Tailfeather - Radio,Murphy Lee
spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm,Dirt Off Your Shoulder,JAY Z
spotify:track:2IUylG1WDsYWbMwH3HKuQo,Big Pimpin' - Radio Edit,JAY Z
spotify:track:2Ozc0me9PV5vlt8cokwdvI,Lean Back,Terror Squad
spotify:track:0jSMveIWvnhDIvzqN74Uc7,Tipsy - Club Mix,J-Kwon
spotify:track:4MeDnO5yA2Zi6IMlVApRci,Freek-A-Leek,Petey Pablo
spotify:track:3VzJE6yGuj8fDExUh6TLnc,Candy Shop,50 Cent
spotify:track:0vupCkmy497h49a74Xsxj1,Don't Cha,Busta Rhymes
spotify:track:6njG8EYG1lrROn8P6q46eq,Wat Da Hook Gon Be - Dirty,Murphy Lee
spotify:track:71mDjdeVK9sqXmamMHaAfX,Some Cut (feat. Cutty) - feat. Cutty Explicit Version,Trillville
spotify:track:0Aqlt4N5h6rUtKnd09VXpr,Grillz - Dirty,Nelly
spotify:track:05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti) - Feat. Nitti Explicit Album Version,Yung Joc
spotify:track:2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado
spotify:track:6o3s08kk2fQI37vxGZDrJ1,Snap Yo Fingers,Youngbloodz
spotify:track:2dN72Xy0X05DiUXwtGAgCM,Party Like A Rock Star,Shop Boyz
spotify:track:2kQuhkFX7uSVepCD3h29g5,Smack That - Dirty,Akon
spotify:track:0AA6zq5ArZ1sSH7VIMi4NK,This Is Why I'm Hot,MiMS
spotify:track:66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),Soulja Boy
spotify:track:0aULRU35N9kTj6O1xMULRR,Magic Stick,Lil' Kim
spotify:track:5dNfHmqgr128gMY2tc5CeJ,Ignition - Remix,R. Kelly
spotify:track:2D1hlMwWWXpkc3CZJ5U351,P.I.M.P.,50 Cent
spotify:track:6fVCBBlHif6zfqXAEHKJy8,Summer Nights,Lil Rob
spotify:track:05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves
spotify:track:5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,REO Speedwagon
spotify:track:7jTKLKs3NDmDnJHan5M2A0,Down Under,Men At Work
spotify:track:5RsUlxLto4NZbhJpqJbHfN,Jessie's Girl,Rick Springfield
spotify:track:4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley
spotify:track:2RtnoUsvJg3wMgMeEhG6fr,Danger Zone,Kenny Loggins
spotify:track:2ZBalNGwjqdKJd29O76wBV,Heat Of The Moment,Asia
spotify:track:4aKIs5t9TqP59btlCGPrgw,Maneater - Remastered,Daryl Hall & John Oates
spotify:track:0CsM8VGDi38kusMv3pxyj1,True,Spandau Ballet
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson
spotify:track:254bXAqt3zP6P50BdQvEsq,Everywhere - Remastered,Fleetwood Mac
spotify:track:2OgVsp77En2nju8pnCieVU,Waiting For A Girl Like You,Foreigner
spotify:track:1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean
spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band
spotify:track:3DPJ8HfH6ktSgBf21pVquQ,Love Is A Battlefield,Pat Benatar
spotify:track:7C0rG4oWO7VeZcffyW1sK9,Mr. Roboto,Styx
spotify:track:0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now - Remastered,Chicago
spotify:track:1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston
spotify:track:0HEmnAUT8PHznIAAmVXqFJ,Faith - Remastered,George Michael
spotify:track:43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - 2003 - Remaster,Poison
spotify:track:4Ij6wDENH7lpOPIFMTU6RV,Out of Touch - Remastered,Daryl Hall & John Oates
spotify:track:7bkyXSi4GtVfD7itZRUR3e,Material Girl,Madonna
spotify:track:4qM461TqtpnP4GLRIXwEnW,Sussudio - 2016 Remastered,Phil Collins
spotify:track:5Ous5CT0aTtQFIExWJD371,Bette Davis Eyes - Rerecorded,Kim Carnes
spotify:track:4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas
spotify:track:1vYew137WJ69SFp9oez3xm,Red Red Wine - Edit,UB40
spotify:track:7tGOxq2rtohwKQml0YVF9d,Rock Me Amadeus - The Gold Mix,Falco
spotify:track:5gys5nzVQIYhgHIfiOJYva,Take It On the Run - Remastered,REO Speedwagon
spotify:track:4YwbSZaYeYja8Umyt222Qf,You Can't Hurry Love - 2016 Remastered,Phil Collins
spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version,Michael Jackson
spotify:track:7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,Tom Petty
spotify:track:7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remastered Version,Van Halen
spotify:track:0DnA2DyUwy0W4xMYtRxocL,Who Can It Be Now?,Men At Work
spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner
spotify:track:3yvlcIteooc31cPjyWPTw1,With Or Without You,U2
spotify:track:4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,Billy Idol
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
spotify:track:4moXVLw4YS7tVNmjs8v60A,Dancing In The Dark,Bruce Springsteen
spotify:track:4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You - Remastered,REO Speedwagon
spotify:track:0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell
spotify:track:3g9hHxBIOcv1WawCqlp57V,Kyrie,Mr. Mister
spotify:track:1JLn8RhQzHz3qDqsChcmBl,I Want To Know What Love Is - Remastered,Foreigner
spotify:track:5tdKaKLnC4SgtDZ6RlWeal,How Will I Know,Whitney Houston
spotify:track:2BPfKiV9U0CR1dpUgeUwuH,She Drives Me Crazy,Fine Young Cannibals
spotify:track:4oDZ5L8izBals6jKBJDBcX,Your Love,The Outfield
spotify:track:71SvEDmsOwIWw1IozsZoMA,Any Way You Want It,Journey
spotify:track:49zeNqC8dkKofXLqG9kFTr,The Power Of Love,Huey Lewis & The News
spotify:track:3wfujdbamR3Z46F4xav7LM,Drive,The Cars
spotify:track:4cQJ27R11K634x5qCOwKW5,One Way Or Another - 2001 - Remaster,Blondie
spotify:track:1kiNatIrwDusOZfR29W0LJ,Man in the Mirror - 2012 Remaster,Michael Jackson
spotify:track:648BMGrt98kUbLo24A4vgj,Hip To Be Square,Huey Lewis & The News
spotify:track:0ZfM5XfJTtFPhOxAERRnNY,The Look,Roxette
spotify:track:310epXrlbXmfGcD1qSdgVV,Born In The U.S.A.,Bruce Springsteen
spotify:track:6N1EjQjnvhOjFrF6oUmGPa,Summer Of '69,Bryan Adams
spotify:track:6tP1NaAIoxSTzeFgCUO66V,Heart Of Glass - Special Mix,Blondie
spotify:track:6I4snLrVOrJsLdd43isc27,A View To A Kill,Duran Duran
spotify:track:2xSJiMxoZ9eiqsWhfrdYjs,Islands In The Stream,Kenny Rogers
spotify:track:3RMeOetCdXttthQK0clPuz,How Am I Supposed to Live Without You,Michael Bolton
spotify:track:6fkvIT9KFKxO8poBeKfaEf,One More Night - 2016 Remastered,Phil Collins
spotify:track:22wWxHGHRH8gZXNDXRgSqY,These Dreams,Heart
spotify:track:5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,REO Speedwagon
spotify:track:52Rp3xBJFYYdmpgzDy0Quf,The Tide Is High,Blondie
spotify:track:39lSeqnyjZJejRuaREfyLL,Hungry Like The Wolf - 2009 Remastered Version,Duran Duran
spotify:track:1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,The Pointer Sisters
spotify:track:42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind
spotify:track:4BGJSbB5rAcg4pNzD4gfxU,Tiny Dancer,Elton John
spotify:track:2zvot9pY2FNl1E94kc4K8M,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John
spotify:track:17VegeBoHvMlIByrdu64KR,Your Song,Elton John
spotify:track:69l8nFPu0LWmnoJX7YSVYc,You've Got A Friend,James Taylor
spotify:track:33CdK2WiQfodCIHiXfgoLJ,Changes,2Pac
spotify:track:1uf3N8VLDUMcPGtaBPz08t,Life Goes On - Album Version (Edited),2Pac
spotify:track:7tkyEsBZNwC95NG6aK0nSo,Thugz Mansion - 2Pac Original/Acoustic,2Pac
spotify:track:0PsbWiVtix5FoTZ1s00mEl,Come Sail Away,Styx
spotify:track:1G8jae4jD8mwkXdodqHsBM,Name,The Goo Goo Dolls
spotify:track:4PmEcNWYoqh24mhmmBNU3A,Holiday In Spain,Counting Crows
spotify:track:5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows
spotify:track:1tjKIXd7DYNklhVSgBxREi,A Long December,Counting Crows
spotify:track:4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley
spotify:track:0niMFDUt2L3WrU8YqvRbvD,Die Young REMIX,Kesha
spotify:track:3Tu7uWBecS6GsLsL8UONKn,Don't Stop the Party,Pitbull
spotify:track:3LPZpcPVseTmaS8DRcvkXN,C'Mon,Kesha
spotify:track:5jPyymL6gQyJNMMnMX1IMx,Die Young,Kesha
